instance,operational_cost,loss_cost,objective_value,optimal_objective_value,feasible,mean_loss_load_over_demand,std_loss_load_over_demand,training_time,inference_time
201,2274.2764,166579.640625,168853.9169921875,66759.28,True,1.1288394,0.48543072,21.02605390548706,
202,2275.597,45461.30859375,47736.905517578125,15157.743,True,0.7671041,0.6556551,21.02605390548706,
203,2278.3445,87907.39453125,90185.73901367188,29309.785,True,0.33209977,0.655539,21.02605390548706,
204,2276.139,110557.828125,112833.96704101562,36859.293,True,0.7450072,0.43957943,21.02605390548706,
205,2277.167,144435.1171875,146712.2841796875,48377.367,True,0.5652373,0.7078871,21.02605390548706,
206,2274.3633,130205.42578125,132479.7890625,52099.664,True,1.0903033,0.51504886,21.02605390548706,
207,2275.0137,105753.65625,108028.669921875,39180.758,True,0.9513069,0.61325294,21.02605390548706,
208,2274.3079,168141.375,170415.68286132812,67473.05,True,1.1064972,0.46317247,21.02605390548706,
209,2274.2764,147026.61328125,149300.8896484375,59351.71,True,1.1415278,0.53641397,21.02605390548706,
210,2274.2764,100922.765625,103197.0419921875,41226.6,True,1.2403425,0.7881136,21.02605390548706,
211,2274.6843,213748.8515625,216023.53588867188,82803.2,True,1.0080932,0.33582228,21.02605390548706,
212,2274.6672,102476.765625,104751.43286132812,38589.145,True,1.049173,0.58286077,21.02605390548706,
213,2278.9275,101547.05859375,103825.98608398438,33856.918,True,0.22399466,0.75588614,21.02605390548706,
214,2274.2764,152477.109375,154751.3857421875,61384.15,True,1.1394795,0.5233289,21.02605390548706,
215,2274.2825,172574.1796875,174848.46215820312,69193.16,True,1.0987858,0.43891284,21.02605390548706,
216,2277.565,106310.203125,108587.76806640625,35444.38,True,0.5007436,0.5723204,21.02605390548706,
217,2274.944,148454.8125,150729.75659179688,54764.766,True,0.9140951,0.36604717,21.02605390548706,
218,2274.2764,114884.0859375,117158.3623046875,46648.13,True,1.1728631,0.6544621,21.02605390548706,
219,2275.5886,195517.6875,197793.27612304688,68429.34,True,0.84417915,0.28957784,21.02605390548706,
220,2275.9304,148865.0625,151140.99291992188,52689.63,True,0.76357865,0.48322222,21.02605390548706,
221,2275.5276,137828.203125,140103.73071289062,49243.824,True,0.8404372,0.4759537,21.02605390548706,
222,2274.2764,132611.28515625,134885.5615234375,53508.9,True,1.1745306,0.61038357,21.02605390548706,
223,2277.5933,43919.900390625,46197.49365234375,14644.984,True,0.36752963,0.9372743,21.02605390548706,
224,2276.6199,137286.46875,139563.08862304688,45770.215,True,0.7105724,0.3038685,21.02605390548706,
225,2277.053,104834.70703125,107111.76000976562,34952.16,True,0.57498586,0.55939883,21.02605390548706,
226,2274.2764,104843.40234375,107117.6787109375,42811.47,True,1.2382993,0.77096826,21.02605390548706,
227,2274.2764,171139.0078125,173413.2841796875,68712.51,True,1.1003196,0.44169334,21.02605390548706,
228,2275.2122,201281.0390625,203556.25122070312,70388.79,True,0.9206646,0.22887535,21.02605390548706,
